Fake Arduino at http://localhost:3003
2026-03-02T09:58:16.956Z - GET /humidity
2026-03-02T09:58:17.611Z - GET /humidity
2026-03-02T09:58:47.097Z - GET /humidity
2026-03-02T09:58:47.833Z - GET /humidity
2026-03-02T09:59:17.333Z - GET /humidity
2026-03-02T09:59:17.834Z - GET /humidity
2026-03-02T09:59:47.633Z - GET /humidity
2026-03-02T09:59:48.032Z - GET /humidity
2026-03-02T10:00:17.089Z - GET /humidity
2026-03-02T10:00:17.747Z - GET /humidity
2026-03-02T10:00:47.090Z - GET /humidity
2026-03-02T10:00:47.740Z - GET /humidity
2026-03-02T10:01:17.090Z - GET /humidity
2026-03-02T10:01:17.735Z - GET /humidity
2026-03-02T10:01:47.088Z - GET /humidity
2026-03-02T10:01:47.932Z - GET /humidity
2026-03-02T10:02:17.094Z - GET /humidity
2026-03-02T10:02:17.943Z - GET /humidity
2026-03-02T10:02:47.092Z - GET /humidity
2026-03-02T10:02:47.918Z - GET /humidity
2026-03-02T10:03:18.412Z - GET /humidity
2026-03-02T10:03:18.537Z - GET /humidity
2026-03-02T10:04:20.254Z - GET /humidity
2026-03-02T10:04:20.411Z - GET /humidity
2026-03-02T10:05:21.814Z - GET /humidity
2026-03-02T10:05:22.412Z - GET /humidity
2026-03-02T10:07:35.124Z - GET /humidity
2026-03-02T10:07:35.636Z - GET /humidity
2026-03-02T10:08:28.231Z - GET /humidity
2026-03-02T10:08:28.371Z - GET /humidity
2026-03-02T10:09:29.340Z - GET /humidity
2026-03-02T10:09:29.895Z - GET /humidity
2026-03-02T10:10:27.956Z - GET /humidity
2026-03-02T10:10:28.379Z - GET /humidity
2026-03-02T10:11:28.078Z - GET /humidity
2026-03-02T10:11:28.395Z - GET /humidity
2026-03-02T10:12:28.036Z - GET /humidity
2026-03-02T10:12:28.079Z - GET /humidity
2026-03-02T10:13:27.922Z - GET /humidity
2026-03-02T10:13:28.500Z - GET /humidity
2026-03-02T10:14:28.103Z - GET /humidity
2026-03-02T10:14:28.222Z - GET /humidity
2026-03-02T10:15:31.884Z - GET /humidity
2026-03-02T10:15:32.092Z - GET /humidity
2026-03-02T10:16:28.809Z - GET /humidity
2026-03-02T10:16:29.383Z - GET /humidity
2026-03-02T10:18:40.444Z - GET /humidity
2026-03-02T10:18:40.900Z - GET /humidity
2026-03-02T10:19:28.028Z - GET /humidity
2026-03-02T10:19:28.494Z - GET /humidity
2026-03-02T10:20:28.518Z - GET /humidity
2026-03-02T10:20:28.812Z - GET /humidity
2026-03-02T10:21:27.937Z - GET /humidity
2026-03-02T10:21:28.696Z - GET /humidity
2026-03-02T10:22:28.507Z - GET /humidity
2026-03-02T10:22:28.894Z - GET /humidity
2026-03-02T10:23:27.986Z - GET /humidity
2026-03-02T10:23:28.222Z - GET /humidity
2026-03-02T10:24:28.621Z - GET /humidity
2026-03-02T10:24:28.922Z - GET /humidity
2026-03-02T10:25:40.623Z - GET /humidity
2026-03-02T10:25:40.926Z - GET /humidity
2026-03-02T10:26:27.996Z - GET /humidity
2026-03-02T10:26:28.132Z - GET /humidity
2026-03-02T10:27:27.946Z - GET /humidity
2026-03-02T10:27:28.114Z - GET /humidity
2026-03-02T10:28:36.039Z - GET /humidity
2026-03-02T10:28:36.313Z - GET /humidity
